City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,okakarara,-20.5833,17.4333,19.47,44,4,1.19,NA,1676080159
230,rio grande,-32.035,-52.0986,24.38,80,0,6.53,BR,1676079997
231,zarichne,51.8126,26.129,-0.96,92,100,4.3,UA,1676080161
232,ugoofaaru,5.6667,73.0,26.52,76,38,2.65,MV,1676080162
233,jining,35.405,116.5814,6.53,72,88,4.22,CN,1676080163
234,faanui,-16.4833,-151.75,27.87,68,53,5.08,PF,1676080164
235,gazli,40.1333,63.45,-3.96,49,1,2.66,UZ,1676080165
236,pevek,69.7008,170.3133,-31.49,92,100,2.82,RU,1676080166
237,buala,-8.145,159.5921,29.38,69,99,0.98,SB,1676080167
238,oranjestad,12.524,-70.027,26.06,82,20,8.75,AW,1676080096
239,qasigiannguit,68.8193,-51.1922,-22.86,99,100,1.33,GL,1676080168
240,tuatapere,-46.1333,167.6833,20.41,47,78,2.96,NZ,1676080169
241,acarau,-2.8856,-40.12,26.59,81,98,6.32,BR,1676080170
242,santa catarina de tepehuanes,25.35,-105.7333,7.15,34,73,3.06,MX,1676080171
243,qaqortoq,60.7167,-46.0333,-18.68,93,9,1.39,GL,1676080172
244,thinadhoo,0.5333,72.9333,27.23,66,34,3.61,MV,1676080173
245,vostok,46.4856,135.8833,-7.69,84,100,1.35,RU,1676080173
246,tudela,42.0617,-1.6045,0.5,67,0,2.03,ES,1676080227
247,mehamn,71.0357,27.8492,-1.03,80,100,9.26,NO,1676080228
248,bar harbor,44.3876,-68.2039,5.57,73,100,4.47,US,1676080229
249,pacific grove,36.6177,-121.9166,12.82,80,75,5.36,US,1676080230
250,hun,29.1268,15.9477,6.92,49,0,3.08,LY,1676080230
251,fairbanks,64.8378,-147.7164,-15.05,79,75,1.54,US,1676080061
252,nokaneng,-19.6667,22.2667,20.33,60,14,1.28,BW,1676080231
253,haines junction,60.7522,-137.5108,-9.03,67,90,3.09,CA,1676080232
254,kieta,-6.2167,155.6333,30.38,63,92,3.1,PG,1676080233
255,cayenne,4.9333,-52.3333,26.02,78,0,3.09,GF,1676080234
256,sistranda,63.7256,8.834,-3.02,82,99,1.03,NO,1676080234
257,marrakesh,31.6315,-8.0083,9.04,61,40,2.57,MA,1676080236
258,lamu,-2.2717,40.902,25.12,90,98,5.02,KE,1676080236
259,mount gambier,-37.8333,140.7667,19.68,67,100,6.07,AU,1676080237
260,ancud,-41.8697,-73.8203,13.98,82,57,3.16,CL,1676080238
261,port blair,11.6667,92.75,23.02,88,55,1.03,IN,1676080055
262,lom sak,16.7798,101.2422,22.94,100,4,0.0,TH,1676080239
263,lorengau,-2.0226,147.2712,27.64,76,100,2.9,PG,1676080239
264,port hedland,-20.3167,118.5667,34.03,59,40,6.69,AU,1676080055
265,shahr-e kord,32.3256,50.8644,-9.13,86,0,3.09,IR,1676080240
266,kharan,28.5833,65.4167,10.27,40,10,4.97,PK,1676080241
267,ikom,5.9667,8.7063,22.22,75,17,0.39,NG,1676080241
268,hongjiang,27.11,109.9956,9.68,92,100,1.35,CN,1676080242
269,bagotville,-28.9833,153.4167,29.92,59,0,3.92,AU,1676080243
270,san juan,-31.5375,-68.5364,31.78,32,97,0.85,AR,1676080190
271,tagusao,9.1924,117.8141,28.11,71,100,2.4,PH,1676080244
272,dungarvan,52.0881,-7.6253,9.74,88,87,2.24,IE,1676080244
273,nouadhibou,20.931,-17.0347,16.99,94,0,5.14,MR,1676080245
274,marsa matruh,31.3525,27.2453,12.11,82,40,4.12,EG,1676080245
275,vila velha,-20.3297,-40.2925,26.08,90,75,1.54,BR,1676080246
276,port hardy,50.6996,-127.4199,5.1,93,75,5.14,CA,1676080246
277,oktyabrskoye,43.0645,44.7417,-10.92,92,100,0.0,RU,1676080247
278,port augusta,-32.5,137.7667,28.28,35,0,6.09,AU,1676080248
279,plouzane,48.3833,-4.6167,8.03,93,100,1.54,FR,1676080249
280,landeck,47.1301,10.5636,-2.78,53,30,2.18,AT,1676080250
281,christchurch,-43.5333,172.6333,23.01,57,75,3.09,NZ,1676080061
282,hami,42.8,93.45,-1.57,40,100,5.1,CN,1676080253
283,katsuura,35.1333,140.3,11.03,54,2,7.79,JP,1676080253
284,vammala,61.3333,22.9,-2.46,90,100,1.5,FI,1676080254
285,vila franca do campo,37.7167,-25.4333,12.23,90,50,1.83,PT,1676080255
286,goderich,43.7501,-81.7165,-0.61,64,100,9.26,CA,1676080255
287,tobias barreto,-11.1839,-37.9983,23.73,88,3,2.95,BR,1676080256
288,saint-augustin,51.226,-58.6502,-11.46,94,100,6.52,CA,1676080256
289,saiha,22.4833,92.9667,18.03,45,0,1.11,IN,1676080257
290,kaohsiung,22.6163,120.3133,25.97,72,40,1.54,TW,1676079828
291,turayf,31.6725,38.6637,2.14,51,0,8.23,SA,1676080258
292,camacha,33.0833,-16.3333,14.68,77,40,5.14,PT,1676080259
293,union hidalgo,16.4723,-94.8295,25.03,71,0,10.12,MX,1676080259
294,jiwani,25.05,61.7417,20.25,38,0,5.89,PK,1676080260
295,kushmurun,52.4503,64.6311,-21.25,100,99,1.93,KZ,1676080261
296,vitim,59.4511,112.5578,-18.08,94,100,3.33,RU,1676080262
297,hondo,32.45,130.2,10.81,59,100,2.92,JP,1676080262
298,nanortalik,60.1432,-45.2371,-9.28,71,100,10.28,GL,1676080263
299,beloha,-25.1667,45.05,21.63,87,26,1.7,MG,1676080264
300,flinders,-34.5833,150.8552,31.21,67,19,1.79,AU,1676080265
301,sungaipenuh,-2.0833,101.3833,24.03,60,47,1.49,ID,1676080266
302,bengkulu,-3.8004,102.2655,26.91,71,31,3.69,ID,1676080266
303,sterling,39.0062,-77.4286,9.28,57,40,8.94,US,1676079551
304,quatre cocos,-20.2078,57.7625,26.16,76,19,4.11,MU,1676080267
305,kholm,59.2667,32.85,-5.14,92,94,4.7,RU,1676080268
306,samarai,-10.6167,150.6667,27.49,79,100,2.97,PG,1676080269
307,san ignacio,17.1561,-89.0714,24.08,83,0,0.0,BZ,1676080270
308,flic en flac,-20.2742,57.3631,26.4,77,2,3.3,MU,1676080270
309,rochester,43.1548,-77.6156,1.84,67,100,6.17,US,1676079721
310,praia da vitoria,38.7333,-27.0667,13.2,94,40,3.2,PT,1676080272
311,tessalit,20.1986,1.0114,22.77,14,82,3.65,ML,1676080272
312,atlantic city,39.3643,-74.4229,8.33,61,0,4.12,US,1676080120
313,vanavara,60.34,102.2797,-25.41,97,100,2.83,RU,1676080274
314,yeniseysk,58.4497,92.1703,-30.29,100,100,1.36,RU,1676080274
315,upornaya,44.3914,41.0196,-5.65,91,88,1.8,RU,1676080275
316,sanchursk,56.9413,47.2499,-6.31,92,100,6.13,RU,1676080276
317,port macquarie,-31.4333,152.9167,29.38,56,0,3.92,AU,1676080276
318,praya,14.9215,-23.5087,20.3,77,20,6.17,CV,1676080277
319,cabedelo,-6.9811,-34.8339,26.37,72,100,5.48,BR,1676080278
320,tateyama,34.9833,139.8667,10.96,55,26,8.73,JP,1676080279
321,nyagan,62.1406,65.3936,-8.02,92,100,4.29,RU,1676080279
322,severo-kurilsk,50.6789,156.125,-5.98,71,97,9.26,RU,1676080280
323,yumen,40.2833,97.2,-2.89,43,100,3.07,CN,1676080281
324,chamrajnagar,11.9167,76.95,18.16,52,95,0.39,IN,1676080282
325,den helder,52.9599,4.7593,7.99,93,100,5.81,NL,1676080283
326,aberdeen,57.1437,-2.0981,12.27,75,100,3.6,GB,1676080284
327,mansehra,34.3333,73.2,4.55,73,93,2.66,PK,1676080284
328,amapa,1.0,-52.0,22.14,99,91,1.44,BR,1676080137
329,aklavik,68.2191,-135.0107,-23.74,98,100,5.17,CA,1676080285
330,waddan,29.1614,16.139,6.84,50,0,2.97,LY,1676080286
331,joensuu,62.6012,29.7632,-5.73,86,0,4.12,FI,1676080056
332,hualmay,-11.0964,-77.6139,22.82,84,100,3.2,PE,1676080287
333,altay,47.8667,88.1167,-15.18,73,75,2.94,CN,1676080288
334,codrington,-38.2667,141.9667,24.22,50,22,6.59,AU,1676080289
335,lulea,65.5842,22.1547,-5.96,73,4,2.57,SE,1676080290
336,san patricio,28.017,-97.5169,13.8,43,3,5.76,US,1676080291
337,searcy,35.2506,-91.7363,6.66,73,100,4.63,US,1676080231
338,tiksi,71.6872,128.8694,-36.57,99,99,2.32,RU,1676080293
339,kuleshovka,47.078,39.5579,-5.59,68,1,0.69,RU,1676080293
340,velke pavlovice,48.9047,16.8161,1.31,75,27,1.61,CZ,1676080294
341,bonavista,48.6499,-53.1147,-4.0,92,100,10.57,CA,1676080294
342,jeremie,18.65,-74.1167,24.06,78,3,2.18,HT,1676080295
343,vestmannaeyjar,63.4427,-20.2734,5.41,92,100,9.15,IS,1676080295
344,perelyub,51.8667,50.3667,-13.9,98,79,3.89,RU,1676080296
345,manokwari,-0.8667,134.0833,28.02,72,78,3.32,ID,1676080297
346,zabaykalsk,49.6333,117.3167,-17.55,98,83,2.4,RU,1676080297
347,walvis bay,-22.9575,14.5053,19.53,82,5,3.6,NA,1676080059
